No.1	 Thread0	->
No.2	 Thread0	->fenlei/电子产品
No.3	 Thread0	->fenlei/美术
No.4	 Thread0	->shenghuo
No.5	 Thread0	->fenlei/文化人物
No.6	 Thread0	->vbaike/
No.7	 Thread0	->fenlei/自然资源
No.8	 Thread0	->fenlei/话题人物
No.9	 Thread0	->fenlei/舞蹈
No.10	 Thread0	->city/
No.11	 Thread0	->art
No.12	 Thread0	->fenlei/互联网
No.13	 Thread0	->fenlei/电影
No.14	 Thread0	->fenlei/建筑
No.15	 Thread0	->fenlei/文物考古
No.16	 Thread0	->task
No.17	 Thread0	->fenlei/娱乐
No.18	 Thread0	->fenlei/科研机构
No.19	 Thread0	->fenlei/组织机构
No.20	 Thread0	->fenlei/语言
No.21	 Thread0	->fenlei/经济
No.22	 Thread0	->lishi
No.23	 Thread0	->item/秒懂大师说
No.24	 Thread0	->usercenter
No.25	 Thread0	->fenlei/军事
No.26	 Thread0	->fenlei/民族
No.27	 Thread0	->wenhua
No.28	 Thread0	->fenlei/体育设施
No.29	 Thread0	->fenlei/美容
No.30	 Thread0	->science
No.31	 Thread0	->tiyu
No.32	 Thread0	->fenlei/自然现象
No.33	 Thread0	->fenlei/小说
No.34	 Thread0	->item/秒懂全视界
No.35	 Thread0	->fenlei/虚拟人物
No.36	 Thread0	->fenlei/书画
No.37	 Thread0	->fenlei/电视节目
No.38	 Thread0	->dili
No.39	 Thread0	->user/question
No.40	 Thread0	->task/
No.41	 Thread0	->fenlei/体育组织
No.42	 Thread0	->fenlei/经济人物
No.43	 Thread0	->operation/cooperation/
No.44	 Thread0	->fenlei/植物
No.45	 Thread0	->fenlei/演出
No.46	 Thread0	->shehui
No.47	 Thread0	->fenlei/曲艺
No.48	 Thread0	->uc/recommend/
No.49	 Thread0	->fenlei/电视剧
No.50	 Thread0	->fenlei/各国历史
No.51	 Thread0	->keji
No.52	 Thread0	->page/createindex
No.53	 Thread0	->fenlei/法律
No.54	 Thread0	->fenlei/行政区划
No.55	 Thread0	->fenlei/体育项目
No.56	 Thread0	->vbaike
No.57	 Thread0	->ziran
No.58	 Thread0	->fenlei/旅游
No.59	 Thread0	->fenlei/政治
No.60	 Thread0	->fenlei/地形地貌
No.61	 Thread0	->operation/cooperation
No.62	 Thread0	->kedou/
No.63	 Thread0	->fenlei/历史人物
No.64	 Thread0	->fenlei/政治人物
No.65	 Thread0	->jingji
No.66	 Thread0	->fenlei/时尚
No.67	 Thread0	->fenlei/体育奖项
No.68	 Thread0	->calendar
No.69	 Thread0	->fenlei/动漫
No.70	 Thread0	->mall/
No.71	 Thread0	->fenlei/医学
No.72	 Thread0	->fenlei/动物
No.73	 Thread0	->renwu
No.74	 Thread0	->fenlei/戏剧
No.75	 Thread0	->calendar/
No.76	 Thread0	->fenlei/历史著作
No.77	 Thread0	->fenlei/摄影
No.78	 Thread0	->event/ranmeng/
No.79	 Thread0	->museum/
No.80	 Thread0	->fenlei/航空航天
No.81	 Thread0	->fenlei/历史事件
No.82	 Thread0	->item/秒懂五千年
No.83	 Thread0	->item/秒懂看瓦特
No.84	 Thread0	->fenlei/自然灾害
No.85	 Thread0	->fenlei/交通
No.86	 Thread0	->item/秒懂星课堂
No.87	 Thread4	shehui->
No.88	 Thread4	shehui->renwu
No.89	 Thread4	shehui->tiyu
No.90	 Thread4	shehui->operation/cooperation
No.91	 Thread4	shehui->shehui
No.92	 Thread4	shehui->shenghuo
No.93	 Thread4	shehui->dili
No.94	 Thread4	shehui->ziran
No.95	 Thread4	shehui->keji
No.96	 Thread4	shehui->wenhua
No.97	 Thread4	shehui->kedou
No.98	 Thread4	shehui->jingji
No.99	 Thread4	shehui->yishu
No.100	 Thread4	shehui->lishi
No.101	 Thread2	fenlei/演出->
No.102	 Thread2	fenlei/演出->subview/8376697/8306396.htm
No.103	 Thread2	fenlei/演出->view/4205571.htm
No.104	 Thread2	fenlei/演出->subview/8899910/8879053.htm
No.105	 Thread2	fenlei/演出->fenlei/%E7%94%9F%E6%B4%BB
No.106	 Thread2	fenlei/演出->fenlei/%E9%9F%B3%E4%B9%90
No.107	 Thread2	fenlei/演出->shenghuo
No.108	 Thread2	fenlei/演出->subview/8861054/8834974.htm
No.109	 Thread2	fenlei/演出->fenlei/%E8%88%9E%E8%B9%88
No.110	 Thread2	fenlei/演出->view/4136595.htm
No.111	 Thread2	fenlei/演出->fenlei/%E7%94%B5%E8%A7%86
No.112	 Thread2	fenlei/演出->fenlei/%E6%88%8F%E5%89%A7
No.113	 Thread2	fenlei/演出->subview/7193958/7347521.htm
No.114	 Thread2	fenlei/演出->fenlei/%E6%BC%94%E5%87%BA
No.115	 Thread2	fenlei/演出->fenlei/%E4%BA%92%E8%81%94%E7%BD%91
No.116	 Thread2	fenlei/演出->fenlei/%E4%BA%AC%E5%89%A7
No.117	 Thread2	fenlei/演出->view/2764268.htm
No.118	 Thread2	fenlei/演出->subview/6310607/6407426.htm
No.119	 Thread2	fenlei/演出->fenlei/%E9%83%AD%E5%AF%8C%E5%9F%8E
No.120	 Thread2	fenlei/演出->fenlei/%E7%AB%9E%E8%B5%9B
No.121	 Thread2	fenlei/演出->view/4258487.htm
No.122	 Thread2	fenlei/演出->lishi
No.123	 Thread2	fenlei/演出->fenlei/%E9%BB%8E%E6%97%8F
No.124	 Thread2	fenlei/演出->fenlei/%E4%BC%91%E9%97%B2
No.125	 Thread2	fenlei/演出->fenlei/%E6%B8%B8%E6%88%8F
No.126	 Thread2	fenlei/演出->wenhua
No.127	 Thread2	fenlei/演出->fenlei/%E5%91%A8%E5%8D%8E%E5%81%A5
No.128	 Thread2	fenlei/演出->subview/6052939/6128153.htm
No.129	 Thread2	fenlei/演出->fenlei/%E8%89%BA%E6%9C%AF
No.130	 Thread2	fenlei/演出->fenlei/%E9%9F%B3%E4%B9%90%E4%BC%9A
No.131	 Thread2	fenlei/演出->view/3746059.htm
No.132	 Thread2	fenlei/演出->subview/7194038/7347602.htm
No.133	 Thread2	fenlei/演出->fenlei/%E7%BB%B4%E4%B9%9F%E7%BA%B3%E6%96%B0%E5%B9%B4%E9%9F%B3%E4%B9%90%E4%BC%9A
No.134	 Thread3	fenlei/美术->
No.135	 Thread2	fenlei/演出->view/4053282.htm
No.136	 Thread3	fenlei/美术->fenlei/%E5%B2%A9%E7%94%BB
No.137	 Thread2	fenlei/演出->fenlei/%E9%92%A2%E7%90%B4%E5%AE%B6
No.138	 Thread3	fenlei/美术->view/2972111.htm
No.139	 Thread2	fenlei/演出->tiyu
No.140	 Thread3	fenlei/美术->fenlei/%E5%B9%B4%E7%94%BB
No.141	 Thread2	fenlei/演出->fenlei/%E5%8A%A8%E6%BC%AB
No.142	 Thread3	fenlei/美术->shehui
No.143	 Thread2	fenlei/演出->subview/7194039/7347603.htm
No.144	 Thread3	fenlei/美术->fenlei/%E6%8A%80%E8%89%BA
No.145	 Thread1	fenlei/植物->
No.146	 Thread2	fenlei/演出->fenlei/%E9%9F%B3%E4%B9%90%E8%8A%82
No.147	 Thread3	fenlei/美术->fenlei/%E7%BE%8E%E6%9C%AF%E5%8F%B2
No.148	 Thread1	fenlei/植物->view/514271.htm
No.149	 Thread2	fenlei/演出->view/2077522.htm
No.150	 Thread3	fenlei/美术->shenghuo
No.151	 Thread1	fenlei/植物->view/273807.htm
No.152	 Thread2	fenlei/演出->dili
No.153	 Thread3	fenlei/美术->subview/6707225/6832228.htm
No.154	 Thread1	fenlei/植物->view/229057.htm
No.155	 Thread2	fenlei/演出->fenlei/%E6%8C%87%E6%8C%A5%E5%AE%B6
No.156	 Thread3	fenlei/美术->fenlei/%E9%9B%95%E5%88%BB
No.157	 Thread1	fenlei/植物->view/899958.htm
No.158	 Thread2	fenlei/演出->subview/7030331/7176171.htm
No.159	 Thread3	fenlei/美术->wenhua
No.160	 Thread1	fenlei/植物->view/61703.htm
No.161	 Thread2	fenlei/演出->view/2144913.htm
No.162	 Thread3	fenlei/美术->view/1533042.htm
No.164	 Thread2	fenlei/演出->subview/221227/7606553.htm
No.163	 Thread1	fenlei/植物->fenlei/%E8%B1%86%E7%A7%91
No.165	 Thread0	fenlei/电子产品->
No.166	 Thread3	fenlei/美术->view/1732638.htm
No.167	 Thread2	fenlei/演出->shehui
No.168	 Thread1	fenlei/植物->shehui
No.169	 Thread0	fenlei/电子产品->shenghuo
No.170	 Thread3	fenlei/美术->fenlei/%E4%B8%AD%E5%9B%BD%E7%94%BB
No.172	 Thread1	fenlei/植物->fenlei/%E8%87%AA%E7%84%B6%E8%B5%84%E6%BA%90
No.171	 Thread2	fenlei/演出->fenlei/%E6%AD%8C%E6%9B%B2
No.173	 Thread0	fenlei/电子产品->fenlei/%E4%B8%AD%E5%9B%BD%E7%94%B5%E4%BF%A1
No.174	 Thread3	fenlei/美术->fenlei/%E9%9D%9E%E7%89%A9%E8%B4%A8%E6%96%87%E5%8C%96%E9%81%97%E4%BA%A7
No.175	 Thread1	fenlei/植物->shenghuo
No.177	 Thread2	fenlei/演出->fenlei/%E8%AF%9D%E5%89%A7
No.178	 Thread3	fenlei/美术->view/1686020.htm
No.179	 Thread1	fenlei/植物->fenlei/%E5%9B%AD%E6%9E%97%E6%A4%8D%E7%89%A9
No.180	 Thread2	fenlei/演出->view/3142190.htm
No.176	 Thread0	fenlei/电子产品->fenlei/%E6%92%AD%E6%94%BE%E5%99%A8
No.181	 Thread3	fenlei/美术->view/1698136.htm
No.182	 Thread1	fenlei/植物->view/338881.htm
No.183	 Thread2	fenlei/演出->keji
No.184	 Thread0	fenlei/电子产品->fenlei/mp4
No.186	 Thread1	fenlei/植物->wenhua
No.187	 Thread2	fenlei/演出->fenlei/%E8%AF%8D%E8%AF%AD
No.185	 Thread3	fenlei/美术->subview/5491398/5528430.htm
No.188	 Thread0	fenlei/电子产品->fenlei/%E7%A7%91%E6%8A%80%E4%BA%A7%E5%93%81
No.189	 Thread1	fenlei/植物->view/169470.htm
No.190	 Thread2	fenlei/演出->view/3951015.htm
No.191	 Thread3	fenlei/美术->view/1710340.htm
No.193	 Thread1	fenlei/植物->fenlei/%E8%8A%B1%E5%8D%89
No.192	 Thread0	fenlei/电子产品->fenlei/GPS
No.194	 Thread2	fenlei/演出->fenlei/%E7%94%B5%E5%BD%B1
No.195	 Thread3	fenlei/美术->fenlei/%E7%A4%BE%E4%BC%9A%E7%A7%91%E5%AD%A6
No.196	 Thread1	fenlei/植物->fenlei/%E8%8B%8F%E6%B0%8F%E4%BA%BA%E7%89%A9
No.197	 Thread0	fenlei/电子产品->fenlei/%E4%BD%93%E8%82%B2%E9%A6%86
No.198	 Thread2	fenlei/演出->ziran
No.200	 Thread1	fenlei/植物->view/817402.htm
No.201	 Thread0	fenlei/电子产品->fenlei/OpenGL
No.199	 Thread3	fenlei/美术->fenlei/%E4%B9%A6%E7%94%BB
No.202	 Thread2	fenlei/演出->fenlei/%E5%84%BF%E7%AB%A5
No.203	 Thread1	fenlei/植物->fenlei/%E9%B2%9C%E8%8A%B1
No.204	 Thread0	fenlei/电子产品->fenlei/%E4%BA%92%E8%81%94%E7%BD%91
No.205	 Thread2	fenlei/演出->operation/cooperation
No.206	 Thread3	fenlei/美术->renwu
No.207	 Thread1	fenlei/植物->fenlei/%E4%B8%AD%E8%8D%89%E8%8D%AF
No.208	 Thread0	fenlei/电子产品->view/344201.htm
No.209	 Thread2	fenlei/演出->fenlei/%E8%99%9A%E6%9E%84
No.210	 Thread3	fenlei/美术->fenlei/%E7%BB%98%E7%94%BB
No.211	 Thread1	fenlei/植物->renwu
No.212	 Thread0	fenlei/电子产品->view/1205836.htm
No.213	 Thread2	fenlei/演出->fenlei/%E7%9B%B8%E5%A3%B0
No.214	 Thread3	fenlei/美术->fenlei/%E8%89%BA%E6%9C%AF
No.215	 Thread1	fenlei/植物->fenlei/%E8%87%AA%E7%84%B6
No.216	 Thread0	fenlei/电子产品->subview/8055576/7964003.htm
No.218	 Thread3	fenlei/美术->view/1713669.htm
No.217	 Thread2	fenlei/演出->view/760347.htm
No.219	 Thread1	fenlei/植物->fenlei/%E7%94%9F%E7%90%86
No.220	 Thread0	fenlei/电子产品->view/160636.htm
No.221	 Thread2	fenlei/演出->jingji
No.222	 Thread3	fenlei/美术->view/1542651.htm
No.223	 Thread1	fenlei/植物->fenlei/%E4%B8%AD%E8%8D%AF%E6%9D%90
No.224	 Thread2	fenlei/演出->fenlei/%E6%AF%94%E8%B5%9B
B%9C%E6%B8%B8%E6%88%8F
No.226	 Thread3	fenlei/美术->view/1697428.htm
No.227	 Thread1	fenlei/植物->fenlei/%E8%8A%B8%E9%A6%99%E7%A7%91
No.228	 Thread0	fenlei/电子产品->fenlei/%E7%94%B5%E5%AD%90
No.229	 Thread3	fenlei/美术->view/1542595.htm
No.230	 Thread1	fenlei/植物->fenlei/%E6%A4%8D%E7%89%A9
No.231	 Thread0	fenlei/电子产品->fenlei/%E6%89%8B%E6%9C%BA
No.232	 Thread3	fenlei/美术->fenlei/%E5%B1%B1%E6%B0%B4%E7%94%BB
No.233	 Thread1	fenlei/植物->fenlei/%E5%90%84%E5%9B%BD%E6%A4%8D%E7%89%A9
No.234	 Thread2	fenlei/演出->subview/8640398/8599623.htm
No.235	 Thread0	fenlei/电子产品->view/344251.htm
No.236	 Thread3	fenlei/美术->kedou
No.237	 Thread1	fenlei/植物->fenlei/%E5%AE%89%E6%BA%AA%E7%83%88%E5%A3%AB
No.238	 Thread2	fenlei/演出->subview/8386403/8316622.htm
No.239	 Thread0	fenlei/电子产品->lishi
No.240	 Thread3	fenlei/美术->keji
No.241	 Thread1	fenlei/植物->fenlei/%E5%90%84%E7%B1%BB%E5%9E%8B%E6%A4%8D%E7%89%A9
No.242	 Thread2	fenlei/演出->fenlei/%E6%99%9A%E4%BC%9A
No.243	 Thread0	fenlei/电子产品->view/7447.htm
No.244	 Thread3	fenlei/美术->view/1624282.htm
No.245	 Thread1	fenlei/植物->kedou
No.246	 Thread2	fenlei/演出->subview/6916114/7053456.htm
No.247	 Thread0	fenlei/电子产品->wenhua
No.248	 Thread3	fenlei/美术->view/1732595.htm
